slug	source	registry_row	confidence	notes
snapgene	custom		high	Stable redirect https://www.snapgene.com/local/targets/download.php?os=mac -> https://cdn.snapgene.com/downloads/SnapGene/8.x/8.2/8.2.2/snapgene_8.2.2_mac.dmg (verified 200, ~295MB, binary/octet-stream). Current version 8.2.2, min macOS 12.0, Universal. CUSTOM: CDN path nests version components as SnapGene/<major>.x/<major>.<minor>/<full>/snapgene_<full>_mac.dmg, requiring string transforms on version not expressible with {v}. livecheck via :header_match on the download.php redirect Location (regex snapgene_(\d+(?:\.\d+)+)_mac\.dmg). Installer download is ungated (the email form is only for the trial license). Homepage https://www.snapgene.com/ (200).
soundq	direct	soundq | SoundQ | Searches, auditions, and downloads sound effects from connected libraries | pkg | direct | https://www.prosoundeffects.com/soundq/ | url=https://prosoundeffects.blob.core.windows.net/software-updates/SoundQ/SoundQ_v{v}.pkg;vers=https://www.prosoundeffects.com/soundq/;vregex=[0-9]+(\.[0-9]+)+	high	Current version 2026.2.3 (from prosoundeffects.com/soundq). Clean versioned URL verified 200 (~109MB), works without the ?version=64 query param: https://prosoundeffects.blob.core.windows.net/software-updates/SoundQ/SoundQ_v2026.2.3.pkg . Free desktop app, ungated. Download host (blob.core.windows.net) != homepage (prosoundeffects.com) -> verified: auto-added (prefix prosoundeffects.blob.core.windows.net/software-updates/SoundQ/). artifact pkg.
spark-desktop	review		high	"Duplicate. Already a cask: readdle-spark (name ""Spark"", homepage https://sparkmailapp.com/, version 3.29.3.139089 on formulae.brew.sh). Same app/vendor as this slug (sparkmailapp.com) -> review (duplicate of readdle-spark)."
startup-manager-pro	direct	startup-manager-pro | Startup Manager Pro | Manages login items, launch delays, and multiple startup sets | dmg | direct | https://startupmanager.appmac.fr/ | url=https://startupmanager.appmac.fr/update/sparkle/Startup Manager Pro-{v}.dmg;vers=https://startupmanager.appmac.fr/update/sparkle/appcast.xml;vregex=[0-9]+(\.[0-9]+)+	high	"Sparkle appcast https://startupmanager.appmac.fr/update/sparkle/appcast.xml -> latest sparkle:shortVersionString 2.1.3, enclosure https://startupmanager.appmac.fr/update/sparkle/Startup%20Manager%20Pro-2.1.3.dmg (verified 200, ~3.99MB). Filename ""Startup Manager Pro-{v}.dmg"" (spaces -> %20). Same host as homepage -> NO verified:. bundle id fr.arievanboxel.startupmanagerpro; min macOS 14.0 (-> depends_on macos: :sonoma); installs LaunchAgent fr.arievanboxel.startupmanagerpro (uninstall launchctl candidate). livecheck :sparkle preferred. Homepage https://startupmanager.appmac.fr/ (200). (Note: macupdater listed a stale 1.8; appcast + site agree 2.1.3.)"
stream-deck	review		high	"Duplicate. Already a cask: elgato-stream-deck (name ""Elgato Stream Deck"", homepage https://www.elgato.com/ww/en/s/downloads, version 7.4.2.22730, url https://edge.elgato.com/egc/macos/sd/Stream_Deck_7.4.2.22730.pkg). Source host gc-updates.elgato.com is Elgato's update CDN for the same app -> review (duplicate of elgato-stream-deck)."
tembo-2	direct	tembo-2 | Tembo 2 | Searches every file on the computer from one window | zip | direct | https://www.houdah.com/tembo/ | url=https://dl.houdah.com/tembo/updates/cast2_assets/Tembo{v}.zip;vers=https://www.houdah.com/tembo/updates/cast2.xml;vregex=[0-9]+(\.[0-9]+)+	high	Sparkle appcast https://www.houdah.com/tembo/updates/cast2.xml -> latest sparkle:shortVersionString 2.7.3, enclosure https://dl.houdah.com/tembo/updates/cast2_assets/Tembo2.7.3.zip (verified 200, application/zip, ~5.68MB). Filename Tembo{v}.zip (no separator). Download host dl.houdah.com != homepage www.houdah.com -> verified: auto-added. The 2.x and 3.x lines share the cast2_assets dir but use SEPARATE appcasts (cast2.xml=2.x, cast3.xml=3.x). livecheck :sparkle on cast2.xml. artifact zip.
tembo-3	direct	tembo-3 | Tembo 3 | Searches every file on the computer from one window | zip | direct | https://www.houdah.com/tembo/ | url=https://dl.houdah.com/tembo/updates/cast2_assets/Tembo{v}.zip;vers=https://www.houdah.com/tembo/updates/cast3.xml;vregex=[0-9]+(\.[0-9]+)+	high	Sparkle appcast https://www.houdah.com/tembo/updates/cast3.xml -> latest sparkle:shortVersionString 3.2.3, enclosure https://dl.houdah.com/tembo/updates/cast2_assets/Tembo3.2.3.zip (verified 200, application/zip, ~9.03MB). Filename Tembo{v}.zip. Download host dl.houdah.com != homepage www.houdah.com -> verified: auto-added. Distinct from tembo-2 only by appcast (cast3.xml) and version line. livecheck :sparkle on cast3.xml. artifact zip.
textsoap	direct_latest	textsoap | TextSoap | Cleans up and reformats text with automated scrubbing rules | dmg | direct_latest | https://textsoap.com/mac/index.html | url=https://textsoap.nyc3.digitaloceanspaces.com/files/textsoap9_latest.dmg	med	"Verified live: https://textsoap.nyc3.digitaloceanspaces.com/files/textsoap9_latest.dmg returns 200 (~25.4MB dmg). URL is unversioned (""_latest""); current line is TextSoap 9 (latest minor ~9.4 build 3150 per release feeds) but textsoap.com is a JS SPA that 404-falls-back any appcast path to marketing HTML, so no machine-readable current version+versioned-URL could be verified -> direct_latest (version :latest + sha256 :no_check). Vendor Unmarked Software (Mark Munz); also on MAS but a real public direct dmg exists. Download host != homepage -> verified: auto-added. Homepage https://textsoap.com/mac/index.html (200 after redirect from textsoap.com)."
typewhisper	direct	typewhisper | TypeWhisper | On-device speech-to-text dictation that types into any app | dmg | direct | https://github.com/TypeWhisper/typewhisper-mac | url=https://github.com/TypeWhisper/typewhisper-mac/releases/download/v{v}/TypeWhisper-v{v}.dmg;vers=https://github.com/TypeWhisper/typewhisper-mac/releases;vregex=TypeWhisper-v(\d+\.\d+\.\d+)\.dmg	med	GitHub-hosted (repo TypeWhisper/typewhisper-mac, GPLv3). Latest STABLE app release tag v1.4.0, asset TypeWhisper-v1.4.0.dmg (verified 200, ~15.1MB). NOT plain github_tag: the repo's releases are contaminated with many plugin-*/Qwen3Plugin non-prerelease tags (so :github_latest would pick a plugin .zip, not the app) plus v1.5.0-daily.* prereleases. Mapped as direct with a page_match vregex anchored to TypeWhisper-v(\d+\.\d+\.\d+)\.dmg which matches only stable app dmgs and excludes -daily/-rc/plugin assets. Both download+homepage on github.com -> NO verified:. (Alt homepage https://www.typewhisper.com/en/ also 200, but would then need verified:.) artifact dmg.
usher	custom		high	"Sparkle appcast https://manytricks.com/usher/appcast.xml (and /appcast/) -> latest sparkle:shortVersionString 2.4.1, enclosure https://manytricks.com/download/_do_not_hotlink_/usher241.dmg (verified 200, ~18.1MB, application/x-apple-diskimage). CUSTOM: filename is usher<version.no_dots>.dmg (e.g. 2.4.1 -> usher241.dmg) -> needs #{version.no_dots} interpolation not expressible with {v}; mirror the live manytricks ""moom"" cask (url https://manytricks.com/download/_do_not_hotlink_/usher#{version.no_dots}.dmg + a :sparkle livecheck block that reconciles dotless filename vs shortVersion). Download host manytricks.com == homepage host manytricks.com -> no verified. min macOS 10.13. Homepage https://manytricks.com/usher/ (200)."
vernier-graphical-analysis	direct_latest	vernier-graphical-analysis | Vernier Graphical Analysis | Collects and graphs data from Vernier sensors and probes | dmg | direct_latest | https://graphicalanalysis.app/ | url=https://software-releases.graphicalanalysis.com/ga/mac/release/latest/Vernier-Graphical-Analysis.dmg	med	"Verified live: https://software-releases.graphicalanalysis.com/ga/mac/release/latest/Vernier-Graphical-Analysis.dmg returns 200 (application/x-apple-diskimage, ~209MB, last-modified 2025-09-09). Direct ungated download (engage.vernier.com/download-ga Mac button points straight at this). URL is unversioned (""latest"" path); no public latest-mac.yml/appcast (all sibling paths 403) so version is not machine-derivable -> direct_latest (version :latest + sha256 :no_check). Min macOS 12.7.5 (-> depends_on macos: :monterey). Also on MAS, but a real public direct dmg exists. Download host != homepage -> verified: auto-added. Homepage https://graphicalanalysis.app/ (200)."
walkme	review		high	WalkMe Editor (bundle com.walkme.editor) is a desktop app distributed only behind an enterprise WalkMe account. cdn.walkme.com returns 403 for the root and every installer-path guess; the public marketing site exposes no download. No verifiable public direct installer URL -> review (gated / no public download).
